Time	A	B	C	D	E	F	G	H	I	J
1/15/1999	0.01286099	0.058636074	0.008964143	0.016627868	0.85033523	0.550175413	0.5525016	0.110169492	0	0.572158823
2/15/1999	0.010462129	0.077119184	0.002656042	0.007316262	0.85033523	0.550175413	0.5525016	0.302259887	0	0.59599204
3/15/1999	0.010895472	0.062460166	0.026560425	0.038244097	0.85033523	0.550175413	0.5525016	0.327683616	0	0.615194439
4/15/1999	0.014656266	0.086679414	0.067397078	0.067509145	0.85033523	0.550175413	0.5525016	0.539548023	0.004945598	0.626732482
5/15/1999	0.01392887	0.141491396	0.067729084	0.072164948	0.85033523	0.550175413	0.5525016	0.711864407	0.173095945	0.629901014
6/15/1999	0.014764602	0.198852772	0.061420983	0.069171932	0.85033523	0.550175413	0.5525016	0.867231638	0.502802506	0.628929586
7/15/1999	0.018277773	0.239005736	0.078021248	0.084469571	0.85033523	0.550175413	0.5525016	0.985875706	0.92812397	0.627027141
8/15/1999	0.021852849	0.258763544	0.096945551	0.101429997	0.85033523	0.550175413	0.5525016	0.867231638	0.447411803	0.627378604
9/15/1999	0.021125453	0.226258764	0.105577689	0.114732291	0.85033523	0.550175413	0.5525016	0.723163842	0.215628091	0.633757028
10/15/1999	0.027424397	0.15806246	0.101925631	0.106750915	0.85033523	0.550175413	0.5525016	0.559322034	0.013517969	0.650203636
11/15/1999	0.034063825	0.131931166	0.1062417	0.116395078	0.85033523	0.550175413	0.5525016	0.449152542	0.001978239	0.675715663
12/15/1999	0.035905531	0.091140854	0.112881806	0.11872298	0.85033523	0.550175413	0.5525016	0.242937853	0	0.709376444
1/15/2000	0.036261491	0.082217973	0.118525896	0.133688061	0.878542973	0.589057377	0.587350593	0.161016949	0	0.747570695
2/15/2000	0.040331817	0.0930529	0.145418327	0.16661124	0.878542973	0.589057377	0.587350593	0.302259887	0	0.784028403
3/15/2000	0.048255796	0.116634799	0.186918991	0.19321583	0.878542973	0.589057377	0.587350593	0.420903955	0.007583251	0.815238056
4/15/2000	0.043860464	0.134480561	0.167330677	0.173927502	0.878542973	0.589057377	0.587350593	0.471751412	0	0.834200689
5/15/2000	0.02887919	0.202676864	0.18061089	0.233122714	0.878542973	0.589057377	0.587350593	0.709039548	0.16782064	0.839609727
6/15/2000	0.036632928	0.281708094	0.221779548	0.321250416	0.878542973	0.589057377	0.587350593	0.802259887	0.328387735	0.835030794
7/15/2000	0.035456712	0.333970682	0.200199203	0.2121716	0.878542973	0.589057377	0.587350593	0.878531073	0.478733927	0.823267149
8/15/2000	0.043040208	0.337157425	0.176626826	0.163618224	0.878542973	0.589057377	0.587350593	0.895480226	0.576327069	0.806730767
9/15/2000	0.016714644	0.319949012	0.200199203	0.20452278	0.878542973	0.589057377	0.587350593	0.759887006	0.272997033	0.788506591
10/15/2000	0.012087164	0.277884003	0.195551129	0.203192551	0.878542973	0.589057377	0.587350593	0.618644068	0.048466864	0.772596729
11/15/2000	0.009796638	0.22307202	0.189575033	0.205187895	0.878542973	0.589057377	0.587350593	0.36440678	0.003956479	0.761277439
12/15/2000	0.008573993	0.221797323	0.164010624	0.177918191	0.878542973	0.589057377	0.587350593	0.025423729	0	0.757454282
1/15/2001	0.013619339	0.321223709	0.170318725	0.194546059	0.914315519	0.624799369	0.6214648	0.175141243	0	0.760568127
